query_id,query_text,source,paper_id,title,abstract_preview,url,tfidf_rank,biobert_rank,relevant,notes
Q1,BRCA1 BRCA2 breast cancer hereditary mutations,pubmed,17922257,Contribution of the BRCA1 and BRCA2 mutations to breast cancer in Tunisia.,"Hereditary breast cancer accounts for 3-8% of all breast cancers, with mutations in the BRCA1 and BRCA2 genes responsible for up to 30% of these. To investigate the prevalence of BRCA1 and BRCA2 gene mutations in breast cancer patients with affected relatives in Tunisia, we studied 36 patients who had at least one first degree relative with breast and/or ovarian cancer Thirty-four 34 patients were",https://pubmed.ncbi.nlm.nih.gov/17922257/,1,10,1,
Q1,BRCA1 BRCA2 breast cancer hereditary mutations,pubmed,28500412,[Hereditary breast and ovarian cancer].,"Hereditary breast and ovarian carcinomas are frequently caused by germline mutations of the BRCA1 and BRCA2 genes (BRCA1/2 syndromes) and are often less associated with other hereditary syndromes such as Li-Fraumeni and Peutz-Jeghers. The BRCA1/2 proteins have a special role in DNA repair. Therefore, loss of function due to mutation causes an accumulation of mutations in other genes and subsequent",https://pubmed.ncbi.nlm.nih.gov/28500412/,2,1,1,
Q1,BRCA1 BRCA2 breast cancer hereditary mutations,pubmed,38777539,Hereditary Breast Cancer: BRCA Mutations and Beyond.,"Hereditary breast cancers are manifested by pathogenic and likely pathogenic genetic mutations. Penetrance expresses the breast cancer risk associated with these genetic mutations. Although BRCA1/2 are the most widely known genetic mutations associated with breast cancer, numerous additional genes demonstrate high and moderate penetrance for breast cancer. This review describes current genetic tes",https://pubmed.ncbi.nlm.nih.gov/38777539/,3,5,1,
Q1,BRCA1 BRCA2 breast cancer hereditary mutations,pubmed,20436502,Pathology of hereditary breast cancer.,"Patients with germline mutations in BRCA1 or BRCA2 genes are predisposed to breast cancer. The BRCA1-associated breast cancers have distinct morphology, being more often medullary-like, triple negative and showing a 'basal' phenotype. On the other hand, BRCA2 and BRCAX cancers are a heterogeneous group without a specific phenotype. When incorporated into risk assessment models, pathology data impr",https://pubmed.ncbi.nlm.nih.gov/20436502/,4,2,1,
Q1,BRCA1 BRCA2 breast cancer hereditary mutations,pubmed,40784323,Ovarian cancer after breast cancer in women with a BRCA1 or BRCA2 pathogenic variant.,Inherited BRCA1/2 pathogenic variants (mutations) confer high lifetime risks of breast and ovarian cancers. Estimating the cumulative ovarian cancer risk following a breast cancer diagnosis in these women will help guide decisions regarding preventive salpingo-oophorectomy. Women carrying a BRCA1 or BRCA2 mutation were followed after breast cancer and completed follow-up questionnaires every two y,https://pubmed.ncbi.nlm.nih.gov/40784323/,5,7,1,
Q1,BRCA1 BRCA2 breast cancer hereditary mutations,pubmed,21509758,Diabetes and breast cancer among women with BRCA1 and BRCA2 mutations.,"Hyperinsulinemia and the metabolic syndrome are both risk factors for breast cancer. It is not clear if diabetes is associated with the risk of breast cancer in women with a BRCA1 or BRCA2 mutation. The authors reviewed the medical histories of 6052 women with a BRCA1 or BRCA2 mutation, half of whom had been diagnosed with breast cancer. They estimated the odds ratio for breast cancer, given a sel",https://pubmed.ncbi.nlm.nih.gov/21509758/,6,9,0,
Q1,BRCA1 BRCA2 breast cancer hereditary mutations,pubmed,16530420,Histopathology of BRCA1- and BRCA2-associated breast cancer.,Hereditary breast carcinomas that are attributable to BRCA1/2 mutations have their own morphological and immunohistochemical characteristics. BRCA1-associated carcinomas are poorly differentiated infiltrating ductal carcinomas that frequently show morphological features of typical or atypical medullary carcinoma. BRCA2-associated breast carcinomas tend to be of higher grade than sporadic age-match,https://pubmed.ncbi.nlm.nih.gov/16530420/,7,3,1,
Q1,BRCA1 BRCA2 breast cancer hereditary mutations,pubmed,26187060,Comprehensive spectrum of BRCA1 and BRCA2 deleterious mutations in breast cancer in Asian countries.,"Approximately 5%-10% of breast cancers are due to genetic predisposition caused by germline mutations; the most commonly tested genes are BRCA1 and BRCA2 mutations. Some mutations are unique to one family and others are recurrent; the spectrum of BRCA1/BRCA2 mutations varies depending on the geographical origins, populations or ethnic groups. In this review, we compiled data from 11 participating ",https://pubmed.ncbi.nlm.nih.gov/26187060/,8,,1,
Q1,BRCA1 BRCA2 breast cancer hereditary mutations,pubmed,28985766,"Mutations in BRCA1, BRCA2 and other breast and ovarian cancer susceptibility genes in Central and South American populations.","Breast cancer (BC) is the most common malignancy among women worldwide. A major advance in the understanding of the genetic etiology of BC was the discovery of BRCA1 and BRCA2 (BRCA1/2) genes, which are considered high-penetrance BC genes. In non-carriers of BRCA1/2 mutations, disease susceptibility may be explained of a small number of mutations in BRCA1/2 and a much higher proportion of mutation",https://pubmed.ncbi.nlm.nih.gov/28985766/,9,6,1,
Q1,BRCA1 BRCA2 breast cancer hereditary mutations,pubmed,29185095,Management of hereditary breast and ovarian cancer.,"Hereditary breast and ovarian cancer (HBOC) syndrome represents 5-10% of all breast cancers. In Japan, the HBOC syndrome is frequently diagnosed in patients with breast cancer. Therefore, a treatment strategy combining a plan for existing breast cancer and for reduction of future breast and ovarian cancer risk is necessary. Breast cancer risk-reducing management involves three options-surveillance",https://pubmed.ncbi.nlm.nih.gov/29185095/,10,,1,
Q1,BRCA1 BRCA2 breast cancer hereditary mutations,pubmed,16998498,"Pathology and gene expression of hereditary breast tumors associated with BRCA1, BRCA2 and CHEK2 gene mutations.","Tumors arising in BRCA1 and BRCA2 mutation carriers appear to have specific pathological and gene expression profiles, which show a high level of concordance. BRCA1 tumors are high-grade, negative for hormone receptors, have a high proliferation rate, and are positive for some cell cycle promoter genes. BRCA2 tumors present a phenotype opposite to BRCA1 tumors but very similar to sporadic tumors, ",https://pubmed.ncbi.nlm.nih.gov/16998498/,,4,1,
Q1,BRCA1 BRCA2 breast cancer hereditary mutations,pubmed,23697973,BRCA1 and BRCA2 germline mutation spectrum in hereditary breast/ovarian cancer families from Maghrebian countries.,"To summarize the knowledge about BRCA1 and BRCA2 germline mutation spectrum in Maghrebian countries. We performed a systematic review of the literature to determine the impact of BRCA1 and BRCA2 mutations on hereditary breast/ovarian cancer in the Maghrebian population from Algeria, Morocco and Tunisia. We searched all available data published in Pubmed, Scopus, Cancerlit® databases and other scie",https://pubmed.ncbi.nlm.nih.gov/23697973/,,8,1,
